# x	y	u	v	flags	mask
1.2391e+01	7.2109e+00	3.4313e-03	-6.7427e-03	0.0000e+00	0.0000e+00
1.2609e+01	7.2109e+00	6.1206e-06	5.5324e-03	0.0000e+00	0.0000e+00
1.2826e+01	7.2109e+00	2.7265e-05	3.1348e-03	0.0000e+00	0.0000e+00
1.3044e+01	7.2109e+00	-2.1865e-03	8.5745e-03	0.0000e+00	0.0000e+00
2.0721e-01	6.9934e+00	-7.3425e-03	7.4795e-03	0.0000e+00	0.0000e+00
4.2478e-01	6.9934e+00	-9.7197e-03	7.6945e-04	0.0000e+00	0.0000e+00
6.4235e-01	6.9934e+00	-3.0179e-03	-7.2552e-03	0.0000e+00	0.0000e+00
8.5993e-01	6.9934e+00	-6.2614e-03	-2.5755e-03	0.0000e+00	0.0000e+00
1.0775e+00	6.9934e+00	9.5442e-04	1.8845e-06	0.0000e+00	0.0000e+00
1.2951e+00	6.9934e+00	-1.4539e-03	-6.0148e-06	0.0000e+00	0.0000e+00
1.5126e+00	6.9934e+00	1.1203e-02	-1.7199e-02	0.0000e+00	0.0000e+00
1.7302e+00	6.9934e+00	-3.8665e-04	-6.6580e-03	0.0000e+00	0.0000e+00
1.9478e+00	6.9934e+00	7.9978e-03	-1.4028e-03	0.0000e+00	0.0000e+00
2.1654e+00	6.9934e+00	4.9443e-04	-4.5950e-03	0.0000e+00	0.0000e+00
2.3829e+00	6.9934e+00	-1.7430e-03	-8.9066e-04	0.0000e+00	0.0000e+00
2.6005e+00	6.9934e+00	2.3384e-03	2.2855e-03	0.0000e+00	0.0000e+00
2.8181e+00	6.9934e+00	1.3808e-02	1.5401e-02	0.0000e+00	0.0000e+00
3.0356e+00	6.9934e+00	-2.4086e-03	1.5551e-02	0.0000e+00	0.0000e+00
3.2532e+00	6.9934e+00	1.4992e-02	6.6679e-03	0.0000e+00	0.0000e+00
3.4708e+00	6.9934e+00	-3.3637e-03	1.9056e-03	0.0000e+00	0.0000e+00
3.6884e+00	6.9934e+00	8.5037e-04	-4.4652e-03	0.0000e+00	0.0000e+00
3.9059e+00	6.9934e+00	-2.3539e-06	-2.6999e-02	0.0000e+00	0.0000e+00
4.1235e+00	6.9934e+00	-9.4578e-10	5.5826e-03	0.0000e+00	0.0000e+00
4.3411e+00	6.9934e+00	-6.5252e-03	6.3625e-03	0.0000e+00	0.0000e+00
4.5586e+00	6.9934e+00	2.4271e-03	-2.3142e-03	0.0000e+00	0.0000e+00
4.7762e+00	6.9934e+00	3.0831e-03	9.2764e-03	0.0000e+00	0.0000e+00
4.9938e+00	6.9934e+00	2.8765e-03	1.1372e-02	0.0000e+00	0.0000e+00
5.2114e+00	6.9934e+00	1.2294e-02	-4.2496e-03	0.0000e+00	0.0000e+00
5.4289e+00	6.9934e+00	-4.2804e-03	-4.2397e-08	0.0000e+00	0.0000e+00
5.6465e+00	6.9934e+00	5.6587e-04	-1.7550e-07	0.0000e+00	0.0000e+00
5.8641e+00	6.9934e+00	-3.7948e-03	-0.0000e+00	0.0000e+00	0.0000e+00
6.0816e+00	6.9934e+00	2.6246e-03	-0.0000e+00	0.0000e+00	0.0000e+00
6.2992e+00	6.9934e+00	2.2191e-02	-0.0000e+00	0.0000e+00	0.0000e+00
6.5168e+00	6.9934e+00	7.1587e-03	-0.0000e+00	0.0000e+00	0.0000e+00
6.7344e+00	6.9934e+00	8.4222e-06	-1.1279e-07	0.0000e+00	0.0000e+00
6.9519e+00	6.9934e+00	-2.8168e-02	8.7632e-06	0.0000e+00	0.0000e+00
7.1695e+00	6.9934e+00	1.1712e-02	-6.8854e-03	0.0000e+00	0.0000e+00
7.3871e+00	6.9934e+00	1.1152e-03	-1.1458e-03	0.0000e+00	0.0000e+00
7.6046e+00	6.9934e+00	-3.5802e-05	1.0878e-03	0.0000e+00	0.0000e+00
7.8222e+00	6.9934e+00	-1.5548e-02	-0.0000e+00	0.0000e+00	0.0000e+00
8.0398e+00	6.9934e+00	-3.1202e-03	-3.1036e-03	0.0000e+00	0.0000e+00
8.2574e+00	6.9934e+00	-1.5281e-03	-3.1360e-03	0.0000e+00	0.0000e+00
8.4749e+00	6.9934e+00	5.4684e-03	1.5775e-09	0.0000e+00	0.0000e+00
